year,feature,training_median_scaled,year_median_scaled,outside_training_1_99_fraction
2003,channel_43_max,0.0,-0.019927041605114937,0.0063
2003,channel_43_std,0.0,0.0,0.01075
2003,channel_44_last,0.0,-0.019215676933526993,0.01355
2003,channel_44_min,0.0,-0.0385054275393486,0.0134
2003,channel_44_max,0.0,-0.01923261769115925,0.01115
2003,channel_44_std,0.0,0.0,0.0104
2003,channel_45_last,-0.06127030402421951,-0.06127030402421951,0.00675
2003,channel_45_min,0.0,-0.061489418148994446,0.0018
2003,channel_45_max,0.0,-0.061271194368600845,0.0092
2003,channel_45_std,0.0,0.0,0.0092
2003,channel_46_last,0.0,-0.05804774910211563,0.0123
2003,channel_46_min,-0.058594442903995514,-0.058594442903995514,0.007
2003,channel_46_max,0.0,-0.058654867112636566,0.0092
2003,channel_46_std,0.0,0.0,0.00965
2003,channel_41_difference,0.0,0.0,0.0173
2003,channel_42_difference,0.0,0.0,0.01885
2003,channel_43_difference,0.0,0.0,0.0149
2003,channel_44_difference,0.0,0.0,0.01695
2003,channel_45_difference,0.0,0.0,0.01905
2003,channel_46_difference,0.0,0.0,0.01905
2004,channel_41_last,0.0,-0.061244551092386246,0.02615
2004,channel_41_min,0.0,-0.06154267489910126,0.02705
2004,channel_41_max,0.0614745132625103,0.0,0.03295
2004,channel_41_std,0.0,0.0,0.00995
2004,channel_42_last,-0.0580093152821064,-0.1160186305642128,0.0309
2004,channel_42_min,-0.058607231825590134,-0.11721446365118027,0.0298
2004,channel_42_max,-0.05846540257334709,-0.05846540257334709,0.03025
2004,channel_42_std,0.0,0.0,0.01335
2004,channel_43_last,0.0,-0.019912127405405045,0.03765
2004,channel_43_min,-0.019979046657681465,-0.03992351144552231,0.03005
2004,channel_43_max,0.0,-0.019927041605114937,0.037
2004,channel_43_std,0.0,0.0,0.0117
2004,channel_44_last,0.0,-0.019215676933526993,0.0327
2004,channel_44_min,0.0,-0.01926874928176403,0.0328
2004,channel_44_max,0.0,-0.01923261769115925,0.0288
2004,channel_44_std,0.0,0.0,0.01265
2004,channel_45_last,-0.06127030402421951,-0.12244163453578949,0.0286
2004,channel_45_min,0.0,-0.061489418148994446,0.02145
2004,channel_45_max,0.0,-0.061271194368600845,0.03195
2004,channel_45_std,0.0,0.0,0.01145
2004,channel_46_last,0.0,-0.05804774910211563,0.03315
2004,channel_46_min,-0.058594442903995514,-0.11718888580799103,0.0263
2004,channel_46_max,0.0,-0.058654867112636566,0.03175
2004,channel_46_std,0.0,0.0,0.01115
2004,channel_41_difference,0.0,0.0,0.018
2004,channel_42_difference,0.0,0.0,0.01785
2004,channel_43_difference,0.0,0.0,0.0147
2004,channel_44_difference,0.0,0.0,0.0171
2004,channel_45_difference,0.0,0.0,0.0189
2004,channel_46_difference,0.0,0.0,0.0192
2005,channel_41_last,0.0,-0.12259621918201447,0.01365
2005,channel_41_min,0.0,-0.12308067828416824,0.012
2005,channel_41_max,0.0614745132625103,-0.061469849199056625,0.02685
2005,channel_41_std,0.0,0.0,0.0099
2005,channel_42_last,-0.0580093152821064,-0.1160186305642128,0.01655
2005,channel_42_min,-0.058607231825590134,-0.11721446365118027,0.0146
2005,channel_42_max,-0.05846540257334709,-0.11693080514669418,0.0122
2005,channel_42_std,0.0,0.0,0.012
2005,channel_43_last,0.0,-0.019912127405405045,0.01685
2005,channel_43_min,-0.019979046657681465,-0.03992351144552231,0.0096
2005,channel_43_max,0.0,-0.03981959447264671,0.0123
2005,channel_43_std,0.0,0.0,0.0122
